data_ref,id_cliente,sexo,posse_de_veiculo,posse_de_imovel,qtd_filhos,tipo_renda,educacao,estado_civil,tipo_residencia,idade,tempo_emprego,qt_pessoas_residencia,renda
2015-01-01,15056,F,False,True,0,Empresário,Outros,Solteiro,Casa,26,6.602739726027397,1.0,8060.34
2015-01-01,9968,M,True,True,0,Bolsista/Pensionista/Assalariado,Superior completo,União/Casado,Casa,28,7.183561643835616,2.0,1852.15
2015-01-01,4312,F,True,True,0,Empresário,Superior completo,União/Casado,Casa,35,0.8383561643835616,2.0,2253.89
2015-01-01,10639,F,False,True,1,Servidor público,Superior completo,União/Casado,Casa,30,4.846575342465753,3.0,6600.77
2015-01-01,7064,M,True,False,0,Bolsista/Pensionista/Assalariado,Outros,Solteiro,Governamental,33,4.293150684931507,1.0,6475.97
2015-01-01,10581,F,False,True,0,Bolsista/Pensionista/Assalariado,Superior completo,União/Casado,Casa,39,4.345205479452055,2.0,1445.87
2015-01-01,7129,F,False,True,0,Empresário,Superior completo,Viúvo,Casa,55,6.3780821917808215,1.0,1726.03
2015-01-01,9952,F,False,True,0,Empresário,Outros,União/Casado,Casa,36,3.104109589041096,2.0,2515.98
2015-01-01,883,F,False,True,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,50,18.6054794520548,2.0,3420.34
2015-01-01,8070,M,True,True,0,Bolsista/Pensionista/Assalariado,Superior completo,União/Casado,Casa,60,10.558904109589042,2.0,12939.14
2015-01-01,2221,M,False,False,0,Empresário,Outros,União/Casado,Casa,39,2.0876712328767124,2.0,6402.41
2015-01-01,6881,F,False,True,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,65,,2.0,1685.51
2015-01-01,2448,F,False,True,0,Bolsista/Pensionista/Assalariado,Outros,Viúvo,Casa,60,,1.0,6343.52
2015-01-01,12517,F,True,False,0,Bolsista/Pensionista/Assalariado,Superior completo,União/Casado,Casa,41,15.04109589041096,2.0,581.18
2015-01-01,1268,M,True,True,0,Empresário,Superior completo,União/Casado,Casa,58,4.586301369863014,2.0,25359.65
2015-01-01,7249,M,True,True,1,Bolsista/Pensionista/Assalariado,Outros,Solteiro,Casa,31,2.043835616438356,2.0,1171.49
2015-01-01,5551,F,False,False,0,Empresário,Outros,União/Casado,Casa,53,8.545205479452052,2.0,3675.33
2015-01-01,6573,F,True,True,0,Servidor público,Outros,Solteiro,Casa,45,15.82739726027397,1.0,19763.27
2015-01-01,10667,M,True,True,1,Bolsista/Pensionista/Assalariado,Superior completo,Separado,Casa,44,6.934246575342466,2.0,13678.63
